period_group,match_count,avg_goals,avg_shots,avg_sot,avg_shot_conversion,low_score_2_rate,draw_rate,home_win_rate,away_win_rate,avg_fouls,avg_yellow,avg_red
2008-2016,14607,2.679,25.517,9.532,0.1067,0.4995,0.2567,0.4625,0.2808,28.965,4.012,0.246
2016-2025,16183,2.797,24.607,8.87,0.116,0.4691,0.2496,0.4405,0.3098,24.698,4.078,0.193
