source,season_code,season,era,league,date,home_team,away_team,home_goals,away_goals,result,total_goals,home_shots,away_shots,total_shots,home_shots_on_target,away_shots_on_target,total_shots_on_target,home_fouls,away_fouls,total_fouls,home_corners,away_corners,total_corners,home_yellow,away_yellow,total_yellow,home_red,away_red,total_red,low_scoring_1_or_less,low_scoring_2_or_less,high_scoring_4_or_more,draw_flag,home_win_flag,away_win_flag,shot_conversion_rate,shot_on_target_rate
football-data.co.uk,0809,2008/2009,historical,Bundesliga,14/09/08,Bochum,Bielefeld,2,0,H,2,18,11,29,6,2,8,22,16,38,5,5,10,2,0,2,0,0,0,0,1,0,0,1,0,0.068966,0.275862
football-data.co.uk,0809,2008/2009,historical,Bundesliga,14/09/08,Hannover,M'gladbach,5,1,H,6,15,9,24,7,5,12,16,16,32,5,3,8,3,4,7,0,0,0,0,0,1,0,1,0,0.25,0.5
football-data.co.uk,0809,2008/2009,historical,Bundesliga,19/09/08,Leverkusen,Hannover,4,0,H,4,20,4,24,12,0,12,17,12,29,8,1,9,0,3,3,0,0,0,0,0,1,0,1,0,0.166667,0.5
football-data.co.uk,0809,2008/2009,historical,Bundesliga,20/09/08,Bayern Munich,Werder Bremen,2,5,A,7,22,10,32,7,5,12,18,17,35,8,2,10,1,2,3,0,0,0,0,0,1,0,0,1,0.21875,0.375
football-data.co.uk,0809,2008/2009,historical,Bundesliga,20/09/08,Bielefeld,FC Koln,2,0,H,2,14,9,23,5,1,6,14,24,38,2,7,9,0,3,3,0,0,0,0,1,0,0,1,0,0.086957,0.26087
football-data.co.uk,0809,2008/2009,historical,Bundesliga,20/09/08,Cottbus,Bochum,1,1,D,2,8,14,22,4,7,11,22,26,48,8,8,16,2,4,6,0,0,0,0,1,0,1,0,0,0.090909,0.5
football-data.co.uk,0809,2008/2009,historical,Bundesliga,20/09/08,M'gladbach,Hertha,0,1,A,1,15,11,26,4,4,8,12,20,32,12,2,14,0,2,2,0,0,0,1,1,0,0,0,1,0.038462,0.307692
football-data.co.uk,0809,2008/2009,historical,Bundesliga,20/09/08,Schalke 04,Ein Frankfurt,1,0,H,1,22,8,30,6,3,9,17,17,34,11,3,14,0,3,3,0,1,1,1,1,0,0,1,0,0.033333,0.3
football-data.co.uk,0809,2008/2009,historical,Bundesliga,21/09/08,Hoffenheim,Dortmund,4,1,H,5,18,10,28,10,3,13,15,23,38,1,7,8,0,1,1,0,0,0,0,0,1,0,1,0,0.178571,0.464286
football-data.co.uk,0809,2008/2009,historical,Bundesliga,21/09/08,Stuttgart,Karlsruhe,3,1,H,4,15,8,23,7,1,8,18,19,37,2,6,8,2,3,5,0,0,0,0,0,1,0,1,0,0.173913,0.347826
football-data.co.uk,0809,2008/2009,historical,Bundesliga,21/09/08,Wolfsburg,Hamburg,3,0,H,3,6,11,17,4,1,5,20,23,43,2,5,7,2,3,5,0,0,0,0,0,0,0,1,0,0.176471,0.294118
football-data.co.uk,0809,2008/2009,historical,Bundesliga,26/09/08,FC Koln,Schalke 04,1,0,H,1,19,6,25,7,0,7,15,17,32,6,6,12,2,3,5,0,0,0,1,1,0,0,1,0,0.04,0.28
football-data.co.uk,0809,2008/2009,historical,Bundesliga,27/09/08,Bochum,Leverkusen,2,3,A,5,25,17,42,12,8,20,20,16,36,13,1,14,3,0,3,1,0,1,0,0,1,0,0,1,0.119048,0.47619
football-data.co.uk,0809,2008/2009,historical,Bundesliga,27/09/08,Dortmund,Stuttgart,3,0,H,3,14,19,33,6,4,10,15,12,27,0,11,11,1,3,4,0,0,0,0,0,0,0,1,0,0.090909,0.30303
